sentence,type
now im left with this gay name,Statement
:P,Emotion
PART,System
hey everyone  ,Greet
ah well,Statement
NICK :10-19-20sUser7,System
10-19-20sUser7 is a gay name.,Accept
.ACTION gives 10-19-20sUser121 a golf clap.,System
:),Emotion
JOIN,System
hi 10-19-20sUser59,Greet
26/ m/ ky women that are nice please pm me,Statement
JOIN,System
PART,System
there ya go 10-19-20sUser7,Statement
don't golf clap me.,Reject
fuck you 10-19-20sUser121:@,Reject
whats everyone up to?,whQuestion
PART,System
PART,System
i'll thunder clap your ass.,Statement
PART,System
and i dont even know what that means.,Continuer
that sounds painful,Statement
any ladis wanna chat? 29 m,ynQuestion
26/m,Statement
JOIN,System
my cousin drew a messed up pic on my cast,Statement
PART,System
24/m,Statement
boo.,Emotion
26/m and sexy,Statement
lol 10-19-20sUser115,Emotion
boo.,Emotion
JOIN,System
PART,System
he drew a girl with legs spread,Statement
boo.,Emotion
hope he didnt draw a penis,Statement
PART,System
ewwwww lol,Emotion
& a head between her legs,Continuer
JOIN,System
JOIN,System
sounds good to me.,Accept
r u serious,ynQuestion
JOIN,System
PART,System
"I'll take one, please.",Statement
& i have to go to the docs tomorrow,Statement
ya man,Accept
I am too.. Connected to... Slip away... Fade away... Days away I... Still feel you... Touching me... Changing me... Considerably killing me... ,Statement
heeeey!,Emotion
don't you have a sharpie?,ynQuestion
26/m,Statement
you're back 10-19-20sUser115,Statement
10-19-20sUser129,Statement
yep,Accept
10-19-20sUser115,Statement
Any ladies wanna chat with 24/m,ynQuestion
hurry ladies,Statement
PART,System
JOIN,System
JOIN,System
not fast enough 10-19-20sUser116,Statement
a bowl i got a blunt an a bong......lol,Statement
JOIN,System
"well, glad it worked out",Statement
my chair is too hard.,Statement
Anyone from Tennessee in here?,ynQuestion
hey ladies,Greet
as am i,Accept
is 10-19-20sUser68 back yet,ynQuestion
PART,System
hey ,Greet
PART,System
JOIN,System
10-19-20sUser121 is missing a B in her name,Statement
and i don't complain about things being hard very often.,Continuer
ok,Accept
yes 10-19-20sUser30,yAnswer
fire it up,Statement
Any women from Nashville in here?,ynQuestion
JOIN,System
PART,System
"and an an ""itch""",Statement
JOIN,System
"yo, 10-19-20sUser133",Greet
